experiment_id,dataset_name,model_type,fusion_strategy,curve_threshold,precision,recall,f1
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.14285714285714285,0.6089053803339518,0.9934917511729984,0.7550468741013401
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.16326530612244897,0.6235057855981639,0.9868321477221129,0.7641819034224098
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.18367346938775508,0.6353104267749282,0.9710912668382019,0.7681072668502334
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.2040816326530612,0.6453004622496148,0.9508097472377781,0.7688165463223595
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.22448979591836732,0.6558005752636625,0.9317390646284244,0.7697886707515318
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.24489795918367346,0.6657095527332966,0.9123656727713032,0.7697612054654578
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.26530612244897955,0.6760306040881581,0.8960193733918571,0.7706326477479823
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.2857142857142857,0.6923076923076923,0.885424549719994,0.7770472205618649
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.3061224489795918,0.7102642901044868,0.8745270168003633,0.7838827838827839
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.32653061224489793,0.7291773122125702,0.8639321931285001,0.7908555594042258
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.3469387755102041,0.7516261781494756,0.8569698804298471,0.8008486562942009
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.36734693877551017,0.7752528751558819,0.8468291206296352,0.8094618055555556
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.3877551020408163,0.8090166326232857,0.8392613894354473,0.823861525889607
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.4081632653061224,0.8442079284281968,0.8283638565158166,0.8362108479755539
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.42857142857142855,0.8701149425287357,0.8020281519600424,0.8346853587461605
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.44897959183673464,0.8872996725831467,0.7793249583774784,0.8298146655922644
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.4693877551020408,0.9023826458036984,0.7681247162100803,0.8298585561278718
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.4897959183673469,0.9166053019145802,0.7535946723172393,0.8271451117202425
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.5102040816326531,0.9268845645191762,0.7425457847737248,0.8245378151260504
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.5306122448979591,0.9360093077370564,0.7305887694869079,0.8206392383543013
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.5510204081632653,0.9445983379501385,0.7225669744210685,0.8187977017408455
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.5714285714285714,0.955051629884592,0.7139397608596942,0.8170795080547376
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.5918367346938775,0.9652083333333333,0.7012259724534584,0.8123082317874989
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.6122448979591836,0.9698705707617229,0.6918419857726653,0.8075971731448763
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.6326530612244897,0.9782986111111112,0.6823066444679885,0.8039233169861792
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.6530612244897959,0.983646408839779,0.6736794309066142,0.7996766079770032
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.673469387755102,0.98645903859174,0.6615710609959135,0.7919913027722414
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.6938775510204082,0.990034762456547,0.6465869532314212,0.782274308734664
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.7142857142857142,0.9931377188831045,0.6352353564401393,0.774854610911105
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.7346938775510203,0.9942418426103646,0.6272135613743,0.7691879350348028
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.7551020408163265,0.9963387844764462,0.6178295746935069,0.7627055306427504
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.7755102040816326,0.9970104633781763,0.6057212047828061,0.7536013558045381
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.7959183673469387,0.9975955116216938,0.5651581655819585,0.7215458937198067
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.8163265306122448,0.9982474588152822,0.4310579688209475,0.6021141649048626
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.836734693877551,0.9984101748807631,0.38020281519600424,0.5506960429683219
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.8571428571428571,0.9987141020145736,0.35265627364915997,0.5212527964205816
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.8775510204081632,0.9984342379958246,0.2895413954896322,0.4489029684383433
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.8979591836734693,0.9991341991341991,0.17466323596185865,0.2973460448338057
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.9183673469387754,1.0,0.08173149689723021,0.15111235483419616
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.9387755102040816,1.0,0.027546541546844255,0.05361614376196789
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.9591836734693877,1.0,0.015892235507794762,0.03128724672228844
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.9795918367346939,1.0,0.006205539579234145,0.01233453670276775
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,1.0,1.0,0.00015135462388375965,0.0003026634382566586
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.0,0.24216666666666667,1.0,0.3899101033141017
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.02040816326530612,0.24307820995399415,1.0,0.39109077451046365
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.04081632653061224,0.24610433604336043,1.0,0.39499796112545876
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.061224489795918366,0.25060365643325283,1.0,0.40077230726796303
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.08163265306122448,0.25691804438157545,1.0,0.40880635858479286
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.1020408163265306,0.26351106274936525,1.0,0.41710922922348215
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.12244897959183673,0.2715634052892253,1.0,0.42713309326082166
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.14285714285714285,0.2786995300661744,1.0,0.4359108977724443
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.16326530612244897,0.28647476340694006,1.0,0.4453639846743295
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.18367346938775508,0.29508529650690496,1.0,0.4557001724949036
c94f7b75-f14d-4898-8055-ea05bc45d1f6,CICIDS,Ensemble_without_LUNAR,rank_mean,0.2040816326530612,0.2996508305999365,0.9745354439091535,0.45836368050497694
