,,,,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_PR,AUC_PR,AUC_PR,AUC_PR,AUC_PR,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1,F1,F1,F1,F1,runtime_train,runtime_train,runtime_train,runtime_train,runtime_train,runtime_inference,runtime_inference,runtime_inference,runtime_inference,runtime_inference
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
dataset_name,model_type,fusion_strategy,threshold_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICIDS,Ensemble_without_LUNAR,rank_mean,standard,0.8274637972804825,0.021324188965883936,0.8148835540953956,0.8520848802800494,3,0.6520584975428417,0.022224379020941244,0.6352139826594327,0.6772473814079927,3,0.524218680104321,0.11665341076891993,0.43985371709332516,0.6573403336213198,3,0.737043155069172,0.1995684607806581,0.5105822837084452,0.887208341936816,3,0.5882703016331506,0.026791172993058453,0.5709419672784593,0.619128242074928,3,10.52973222732544,4.793747542257993,5.013995170593262,13.690712451934814,3,19.67509325345357,11.360667287922986,6.56597638130188,26.65161418914795,3
CICIDS,Fusion_Level_Comparison,decision_level_AND,operational,0.7220102682614615,0.02689419446850972,0.7048883994165493,0.753008424025992,3,0.5121342922367296,0.009916616833787991,0.5036717598515394,0.5230460111572746,3,0.2421510478336102,2.0422793831973767e-06,0.24214974214974214,0.24215340135108837,3,1.0,0.0,1.0,1.0,3,0.3898898580074215,2.6472558935795662e-06,0.38988816554542394,0.3898929086982308,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,decision_level_AND,recall_oriented,0.7220102682614615,0.02689419446850972,0.7048883994165493,0.753008424025992,3,0.5121342922367296,0.009916616833787991,0.5036717598515394,0.5230460111572746,3,0.2421510478336102,2.0422793831973767e-06,0.24214974214974214,0.24215340135108837,3,1.0,0.0,1.0,1.0,3,0.3898898580074215,2.6472558935795662e-06,0.38988816554542394,0.3898929086982308,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,decision_level_AND,standard,0.7220102682614615,0.02689419446850972,0.7048883994165493,0.753008424025992,3,0.5121342922367296,0.009916616833787991,0.5036717598515394,0.5230460111572746,3,0.8075532868076953,0.06508549337450395,0.7324770642201834,0.8480565371024735,3,0.48343469243064746,0.07750648266314453,0.4358868469956638,0.5728718213650192,3,0.5993628606058153,0.03784980451608766,0.5744413075274669,0.6429169619274625,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,decision_level_OR,operational,0.7876082144474722,0.018978984367740957,0.7725487614656321,0.8089260337922558,3,0.49307070242832474,0.0116064759615962,0.4805047596410123,0.5033889056178761,3,0.2421510478336102,2.0422793831973767e-06,0.24214974214974214,0.24215340135108837,3,1.0,0.0,1.0,1.0,3,0.3898898580074215,2.6472558935795662e-06,0.38988816554542394,0.3898929086982308,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,decision_level_OR,recall_oriented,0.7876082144474722,0.018978984367740957,0.7725487614656321,0.8089260337922558,3,0.49307070242832474,0.0116064759615962,0.4805047596410123,0.5033889056178761,3,0.5767553960486499,0.035962896041425836,0.5406770356816103,0.6126017047655947,3,0.7550331630353129,0.08062978661294438,0.7051903885822601,0.8480569427702198,3,0.6511188554517041,0.012142534311667631,0.6373636531706415,0.6603495284494704,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,decision_level_OR,standard,0.7876082144474722,0.018978984367740957,0.7725487614656321,0.8089260337922558,3,0.49307070242832474,0.0116064759615962,0.4805047596410123,0.5033889056178761,3,0.5767553960486499,0.035962896041425836,0.5406770356816103,0.6126017047655947,3,0.7550331630353129,0.08062978661294438,0.7051903885822601,0.8480569427702198,3,0.6511188554517041,0.012142534311667631,0.6373636531706415,0.6603495284494704,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_only,operational,0.9547505049454279,0.00013341719369682086,0.9546634242214468,0.9549041037382956,3,0.8732251992824734,0.0002944783541608297,0.873051692474232,0.8735652095555823,3,0.739718307780224,0.0007132229063194727,0.7391509433962264,0.7405189620758483,3,0.8998062370138055,0.0003123368178140999,0.8994891223236324,0.9001135659715053,3,0.8119464922443775,0.0005519404396625226,0.8114756220708941,0.8125538805657169,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_only,recall_oriented,0.9547505049454279,0.00013341719369682086,0.9546634242214468,0.9549041037382956,3,0.8732251992824734,0.0002944783541608297,0.873051692474232,0.8735652095555823,3,0.7581229905993173,0.0006214165846966955,0.7575522098105877,0.7587849650349651,3,0.8957828435876468,0.00041742816005250566,0.8953561793238046,0.8961903778649597,3,0.8212239645295393,0.0005383356966360477,0.8207097945331615,0.8217835842090315,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_only,standard,0.9547505049454279,0.00013341719369682086,0.9546634242214468,0.9549041037382956,3,0.8732251992824734,0.0002944783541608297,0.873051692474232,0.8735652095555823,3,0.7681286880520757,0.0004999562426848987,0.7677003225006201,0.7686780326698206,3,0.8886378371383771,0.00044354722924389776,0.8881809310602147,0.8890666941978113,3,0.824000485798846,0.00047429782613597846,0.8235575899510326,0.8245009335056729,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
